material_id,material_description,plant,storage_location,material_group,unrestricted_stock,quality_inspection_stock,blocked_stock,safety_stock,open_demand,avg_monthly_consumption,last_consumption_date,standard_price,open_purchase_orders,minimum_order_quantity,days_in_blocked_status
MAT-1001,Housing assembly,DE01,0001,MECH,420,0,0,80,120,34,2026-05-08,78.5,250,50,0
MAT-1002,Control board,DE01,0002,ELEC,55,20,0,40,70,18,2026-06-01,315.0,0,25,18
MAT-1003,Seal kit,DE02,0001,SPARE,900,0,0,120,80,2,2025-02-15,12.5,0,100,0
MAT-1004,Legacy bracket,DE02,0003,MECH,300,0,0,20,0,0,2023-12-11,24.0,0,50,0
MAT-1005,Sensor module,DE03,0004,ELEC,35,0,15,25,10,8,2026-04-19,188.0,0,20,46
MAT-1006,Drive belt,DE01,0001,WEAR,120,0,0,90,220,44,2026-06-10,9.6,300,100,0
MAT-1007,Valve body,DE03,0002,HYD,180,0,0,50,20,6,2026-03-22,142.0,120,25,0
MAT-1008,Paint additive,DE02,0005,CHEM,60,35,0,30,45,12,2026-05-30,51.0,0,20,12
MAT-1009,Obsolete cable,DE01,0002,ELEC,480,0,0,10,0,0,2023-04-08,6.4,0,100,0
MAT-1010,Precision bearing,DE04,0001,MECH,75,0,0,50,30,1,2025-05-28,96.0,0,50,0
MAT-1011,Pump rotor,DE04,0003,HYD,18,0,0,20,60,14,2026-06-15,260.0,80,10,0
MAT-1012,Packaging insert,DE01,0006,PACK,2200,0,0,500,300,40,2026-02-02,0.42,0,1000,0
MAT-1013,Quarantine filter,DE03,0004,SPARE,20,80,0,30,25,5,2026-01-18,44.0,0,50,67
MAT-1014,Special screw,DE02,0001,MECH,1400,0,0,300,100,15,2025-11-01,0.21,2000,1000,0
MAT-1015,Display unit,DE04,0002,ELEC,12,0,0,15,40,7,2026-06-04,410.0,30,5,0
