material_id,plant,material_description,base_unit,program_short,profit_center,planning_type,mrp_controller,production_scheduler,purchase_organization,accountable_l1,responsible_l1,minimum_order_quantity,safety_stock_target,status_safety,supply_type,standard_price,finance_classification
MAT-1001,PLANT-02,Housing assembly,EA,PROG-A,PC-100,PD,A01,SCHED-1,ORG-DE,Ops,Planner A,10,10,OK,Buy,4.8,A
MAT-1002,PLANT-03,Control board,EA,PROG-B,PC-200,VB,B02,SCHED-2,ORG-FR,Ops,Planner B,20,20,OK,Make,9.6,B
MAT-1003,PLANT-04,Legacy bracket,EA,PROG-C,PC-300,ND,C03,SCHED-3,ORG-CZ,Ops,Planner C,25,35,OK,Transfer,12.5,C
MAT-1004,PLANT-01,Sensor module,EA,PROG-D,PC-400,V1,D04,SCHED-4,ORG-PL,Ops,Planner D,50,50,OK,Buy,18.4,A
MAT-1005,PLANT-02,Precision bearing,EA,PROG-E,PC-500,PD,E05,SCHED-5,ORG-DE,Ops,Planner E,100,80,Review,Make,24.0,B
MAT-1006,PLANT-03,Pump rotor,EA,PROG-F,PC-600,VB,F06,SCHED-6,ORG-FR,Ops,Planner F,250,120,OK,Transfer,31.5,C
MAT-1007,PLANT-04,Valve body,EA,PROG-G,PC-700,ND,G07,SCHED-1,ORG-CZ,Ops,Planner G,500,160,OK,Buy,44.0,A
MAT-1009,PLANT-02,Drive belt,EA,PROG-A,PC-100,PD,A09,SCHED-3,ORG-DE,Ops,Planner A,20,20,OK,Transfer,78.5,C
MAT-1010,PLANT-03,Display unit,EA,PROG-B,PC-200,VB,B01,SCHED-4,ORG-FR,Ops,Planner B,25,35,Review,Buy,96.0,A
MAT-1011,PLANT-04,Cable harness,EA,PROG-C,PC-300,ND,C02,SCHED-5,ORG-CZ,Ops,Planner C,50,50,Critical,Make,142.0,B
MAT-1012,PLANT-01,Cooling fan,EA,PROG-D,PC-400,V1,D03,SCHED-6,ORG-PL,Ops,Planner D,100,80,OK,Transfer,188.0,C
MAT-1013,PLANT-02,Filter cartridge,EA,PROG-E,PC-500,PD,E04,SCHED-1,ORG-DE,Ops,Planner E,250,120,OK,Buy,260.0,A
MAT-1014,PLANT-03,Gear wheel,EA,PROG-F,PC-600,VB,F05,SCHED-2,ORG-FR,Ops,Planner F,500,160,OK,Make,315.0,B
MAT-1015,PLANT-04,Pressure sensor,EA,PROG-G,PC-700,ND,G06,SCHED-3,ORG-CZ,Ops,Planner G,10,10,Review,Transfer,410.0,C
MAT-1016,PLANT-01,Mounting plate,EA,PROG-H,PC-800,V1,H07,SCHED-4,ORG-PL,Ops,Planner H,20,20,OK,Buy,4.8,A
MAT-1017,PLANT-02,Hydraulic hose,EA,PROG-A,PC-100,PD,A08,SCHED-5,ORG-DE,Ops,Planner A,25,35,OK,Make,9.6,B
MAT-1018,PLANT-03,Connector kit,EA,PROG-B,PC-200,VB,B09,SCHED-6,ORG-FR,Ops,Planner B,50,50,OK,Transfer,12.5,C
MAT-1019,PLANT-04,Packaging insert,EA,PROG-C,PC-300,ND,C01,SCHED-1,ORG-CZ,Ops,Planner C,100,80,OK,Buy,18.4,A
MAT-1020,PLANT-01,Motor housing,EA,PROG-D,PC-400,V1,D02,SCHED-2,ORG-PL,Ops,Planner D,250,120,Review,Make,24.0,B
MAT-1021,PLANT-02,Relay module,EA,PROG-E,PC-500,PD,E03,SCHED-3,ORG-DE,Ops,Planner E,500,160,OK,Transfer,31.5,C
MAT-1022,PLANT-03,Shaft collar,EA,PROG-F,PC-600,VB,F04,SCHED-4,ORG-FR,Ops,Planner F,10,10,Critical,Buy,44.0,A
MAT-1023,PLANT-04,O-ring set,EA,PROG-G,PC-700,ND,G05,SCHED-5,ORG-CZ,Ops,Planner G,20,20,OK,Make,51.0,B
MAT-1024,PLANT-01,Terminal block,EA,PROG-H,,V1,H06,SCHED-6,ORG-PL,Ops,Planner H,25,35,OK,Transfer,78.5,C
MAT-1025,PLANT-02,Flow meter,EA,PROG-A,PC-100,PD,A07,SCHED-1,ORG-DE,Ops,Planner A,50,50,Review,Buy,96.0,A
MAT-1026,PLANT-03,Actuator arm,EA,PROG-B,PC-200,VB,B08,SCHED-2,ORG-FR,Ops,Planner B,100,80,OK,Make,142.0,B
MAT-1027,PLANT-04,Insulation cover,EA,PROG-C,PC-300,ND,C09,SCHED-3,ORG-CZ,Ops,Planner C,250,120,OK,Transfer,188.0,C
MAT-1028,PLANT-01,Guide rail,EA,PROG-D,PC-400,V1,D01,SCHED-4,ORG-PL,Ops,Planner D,500,160,OK,Buy,260.0,A
MAT-1029,PLANT-02,Solenoid valve,EA,PROG-E,,PD,E02,SCHED-5,ORG-DE,Ops,Planner E,10,10,OK,Make,315.0,B
MAT-1030,PLANT-03,Battery pack,EA,PROG-F,PC-600,VB,F03,SCHED-6,ORG-FR,Ops,Planner F,20,20,Review,Transfer,410.0,C
MAT-1031,PLANT-04,Housing assembly,EA,PROG-G,PC-700,ND,G04,SCHED-1,ORG-CZ,Ops,Planner G,25,35,OK,Buy,4.8,A
